Modelo,AUC,Gini,Acurácia,Precisão,Recall,F1-Score,Complexidade,Complexidade_Group
Logit Simples,0.7955660110765189,0.5911320221530378,0.6480502313284865,0.35294117647058826,0.022966507177033493,0.0431266846361186,1,Baixa
Logit Stepwise,0.7634006313567406,0.5268012627134813,0.6497025776602776,0.4050632911392405,0.03062200956937799,0.05693950177935943,2,Baixa
Árvore Simples,0.7209142354762589,0.44182847095251776,0.7488433575677462,0.6379477250726041,0.630622009569378,0.6342637151106834,3,Baixa
Árvore Podada,0.9094454736262435,0.818890947252487,0.8433575677461996,0.8046958377801494,0.7215311004784689,0.7608476286579213,4,Baixa
Árvore Otimizada,0.9086658180948677,0.8173316361897354,0.8423661599471249,0.8073593073593074,0.7138755980861244,0.7577450482478415,5,Baixa
XGBoost Simples,0.9080559574329334,0.8161119148658669,0.833773959021811,0.8233890214797136,0.6602870813397129,0.7328730748805098,6,Média
XGBoost Early,0.9003535984194344,0.8007071968388688,0.8258426966292135,0.7990762124711316,0.662200956937799,0.7242281527995814,7,Média
XGBoost Otimizado,0.9182066956662456,0.8364133913324912,0.7974223397224058,0.8802816901408451,0.4784688995215311,0.6199628022318661,8,Média
XGBoost Temporal,0.9112586316417449,0.8225172632834898,0.836748182419035,0.8192352259559675,0.676555023923445,0.7410901467505241,9,Média
Voting Soft,0.8779614471450067,0.7559228942900134,0.8073364177131527,0.7743467933491687,0.6239234449760765,0.6910439851616322,14,Alta
Stacking,0.8950554188233192,0.7901108376466384,0.8113020489094515,0.794044665012407,0.6124401913875598,0.6915180983252296,15,Alta
Random Forest,0.9067956592412607,0.8135913184825214,0.8357567746199603,0.8382716049382716,0.6497607655502392,0.7320754716981132,16,Muito Alta
MLP Simples,0.7611875013586005,0.5223750027172009,0.729676140118969,0.6152284263959391,0.5799043062200957,0.5970443349753695,10,Média
MLP TensorFlow,0.7985955090102385,0.5971910180204769,0.7402511566424322,0.6278381046396841,0.6086124401913876,0.6180758017492711,11,Alta
LSTM,0.7265218136893793,0.4530436273787586,0.7091870456047588,0.5903614457831325,0.5157894736842106,0.550561797752809,13,Alta
